"scientificName","EOO"
"Hyemoschus aquaticus",2448582.24134045
"Mandrillus leucophaeus",43184.0566877264
"Cephalophus callipygus",745835.020877396
"Cephalophus dorsalis",3569433.43254078
"Cephalophus leucogaster",1003258.27201963
"Cephalophus nigrifrons",3191995.27191801
"Cercocebus agilis",990299.295420334
"Cercopithecus cephus",835775.133213616
"Cercopithecus nictitans",1347329.09327688
"Cricetomys gambianus",4141042.43891154
"Smutsia gigantea",3476749.79855971
"Gorilla beringei",47439.3459236797
"Cephalophus harveyi",349799.047902476
"Cephalophus spadix",6572.38869184127
"Cercocebus sanjei",188.105582653393
"Colobus angolensis",2295476.76346502
"Nesotragus moschatus",1370858.99960336
"Paraxerus vexillarius",39824.990526129
"Petrodromus tetradactylus",3147854.36779848
"Piliocolobus gordonorum",1709.89948720513
"Rhynchocyon cirnei",1130811.52961835
"Rhynchocyon udzungwensis",320.40194237185
"Lariscus insignis",1275964.48660382
"Tragulus javanicus",126244.131093051
"Callosciurus prevostii",1334755.19063461
"Leopoldamys sabanus",2538761.31968382
"Rattus tiomanicus",1495112.48255278
"Tupaia glis",190363.117291323
"Mazama temama",854551.716097619
"Proechimys semispinosus",348118.047669495
"Hoplomys gymnurus",332781.88349011
"Philander opossum",5893336.84001024
"Dasypus kappleri",6028983.44124139
"Myoprocta acouchy",993244.796030637
"Atelocynus microtis",2852893.50504691
"Cebus albifrons",3694739.10094969
"Myoprocta pratti",2337165.23518942
"Sciurus igniventris",2711191.76046302
"Euryoryzomys nitidus",1303446.66013608
"Hylaeamys megacephalus",5971593.7926301
"Marmosa regina",1341521.10026166
"Monodelphis glirina",1635496.57220615
"Proechimys brevicauda",1460844.71116488
"Saimiri boliviensis",1373872.35393986
"Sciurus spadiceus",3247882.94588982
"Tylomys watsoni",90447.7516920184
"Neacomys spinosus",3102258.02686537
"Proechimys guyannensis",1497170.02802114
"Sciurus aberti",270389.017303568
"Sciurus arizonensis",87227.6090130842
"Neotoma mexicana",1784429.13292415
"Antilocapra americana",2007736.60282779
"Bison bison",140673.076174164
"Cynomys ludovicianus",1820824.73589668
"Neotamias townsendii",151287.626985575
"Ammospermophilus leucurus",990844.097397955
"Dipodomys merriami",1423683.81695737
"Neotoma lepida",675858.654823149
"Dipodomys deserti",307685.282875582
"Neotoma micropus",1063795.71385525
"Euphractus sexcinctus",7930000
"Cabassous tatouay",2500000
"Tolypeutes tricinctus",937000
"Priodontes maximus",9750000
"Cabassous centralis",211543.091338184
"Cebus capucinus",211543.1
